CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,AL1,Dpp1,Kc1,AL2,Dpp2,Kc2,AL3,Dpp3,Kc3
-0.7239375452,-0.7126329565,-0.5399084762,-0.9577535288,-0.7859975751,-0.9392926492,-0.9843395716,-0.7641435135,-0.8921748047,3.439622542,3.173091768,2.742795865,3.115142274,2.373663226,4.49284747,4.847405273,5.031527102,4.450702495,70.02970014,38.23773929,16.63201401,69.0448958,32.67530025,18.31591564,69.772609,37.1265521,17.87459936
-0.7169428931,-0.755749682,-0.5502193212,-1.014674096,-0.7761567932,-0.9017477775,-1.004074057,-0.7764749691,-0.8879055176,3.328850714,3.283496968,2.634253449,2.974335906,2.38451145,4.63266321,4.579587158,5.006596533,4.448304712,69.10878193,37.94646774,17.38864465,64.98527709,33.14767674,20.43065383,66.896041,37.93429777,17.88253548
-0.7271754788,-0.7094436932,-0.5296243778,-0.9592558312,-0.7614979347,-0.9092428721,-1.01059544,-0.7456370861,-0.8431311035,3.616194367,3.190574587,2.605864431,3.160463614,2.494072514,4.660996875,4.710474854,4.862865369,4.469572006,68.956416,38.05664839,20.22750907,67.47526479,32.68650169,22.25271667,67.92850352,37.26662213,17.89570385
-0.7429000291,-0.7548510498,-0.5343986602,-0.9563227646,-0.7284782979,-0.9399403734,-1.026874565,-0.7896568699,-0.8858027344,3.482809103,3.265375507,2.578972999,2.944752193,2.504321388,4.476719076,4.510380859,5.021695328,4.384398579,68.43218814,38.78407423,20.50698552,68.00358914,33.55144347,20.9777816,68.27097189,37.61268388,17.90798019
-0.7445816079,-0.701250282,-0.5523991756,-0.9693427185,-0.7457787273,-0.9038066152,-0.9852642454,-0.7452488394,-0.8478676758,3.322814797,3.38719643,2.563215792,3.112872424,2.452657472,4.30911455,4.784241699,4.923611684,4.43006071,67.60363601,38.76663969,20.65964213,65.58570225,33.69158976,24.24316741,66.98808639,37.80179101,17.90830249
-0.7217908489,-0.6876826978,-0.5502861879,-0.939248979,-0.7525128729,-0.9657568102,-1.028918581,-0.7477262232,-0.8797705078,3.519194631,3.169898559,2.671432645,3.148433409,2.47387444,4.512898987,4.872032227,4.925718492,4.463212668,72.33927756,37.79296454,19.32956999,70.56487698,31.99258609,17.03488997,69.64111127,36.78738384,17.91505937
-0.7497873464,-0.7210025702,-0.5422488106,-0.9397974386,-0.7397700835,-0.9769763189,-1.031230266,-0.7246347869,-0.8781350098,3.598511681,3.368117006,2.60690623,2.958295632,2.531471914,4.530226113,4.767025635,5.022046463,4.471240029,72.965764,37.43636667,16.97754773,72.12166548,32.43566519,17.40230384,69.88148393,37.05180335,17.9239914
-0.7648499987,-0.7037699762,-0.5223760276,-0.9856295839,-0.7249251989,-0.9846102115,-0.9935133088,-0.7466354348,-0.8396901855,3.524550445,3.433098809,2.626830633,3.231131614,2.342437124,4.669496974,4.732593506,4.96609899,4.349682849,70.06317764,38.34456677,16.83736217,69.02180529,32.8854593,19.42030071,70.107129,37.55100883,17.93831783
-0.7508428054,-0.6861321167,-0.5309215918,-0.9920918687,-0.756828679,-0.965201618,-0.9773315177,-0.7753841807,-0.8670263672,3.513073701,3.334029501,2.603194822,3.117563447,2.475312878,4.510283572,4.902131836,4.833018914,4.387317619,67.58895156,38.57832547,23.61763818,64.77008522,33.27379955,23.76380331,67.92438264,37.24877192,17.95010209
-0.7320592128,-0.6887751526,-0.5369395947,-1.021899455,-0.7669857053,-0.9732981707,-1.031497934,-0.7240246849,-0.8914526367,3.314313506,3.163991122,2.630672266,3.230601982,2.366111424,4.634733747,4.876820801,4.85478927,4.332064356,69.83318139,38.14357227,19.9991614,70.33497794,32.82744779,20.29682055,68.36602514,37.66126663,18.0703985
